term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_effect,pct_low,pct_high
(Intercept),8.981242847972466,0.32321580451996285,27.787140116218403,2.430492974939501e-147,8.347427823850508,9.615057872094424,795150.9736642706,421831.39547535195,1498779.0070989514
eng_factorNot well,-0.12984306489028044,0.09105717570122798,-1.4259509356661213,0.15401420368035246,-0.3084030400105151,0.048716910229954224,-12.176675426293404,-26.538082258616626,4.992308618070296
eng_factorWell,0.018637404735632572,0.08735921460463561,0.2133421736903253,0.8310784306118334,-0.15267099645516574,0.1899458059264309,1.8812165168611727,-14.158790401969846,20.918406527134216
eng_factorVery well,0.1553389313304992,0.10046404116282436,1.5462142427531644,0.12218634628972627,-0.04166758191094133,0.3523454445719397,16.805378404605918,-4.081142078311906,42.239979914922074
lang_isolated,-0.10812131554839234,0.05809352384127404,-1.8611595303429462,0.06284538477106846,-0.22204070841184528,0.005798077315060601,-10.248129314854515,-19.911723899422597,0.5814918698818339
edu_collapsedHS/GED,0.061819881512642644,0.06343025610318508,0.974611885723388,0.32985227879828727,-0.06256465890861378,0.18620442193389908,6.3770722697749305,-6.0647676646208515,20.466849587243765
edu_collapsedSome college/Assoc.,-0.024651716077143383,0.07290246010346056,-0.3381465596930275,0.7352826956204696,-0.1676109212362187,0.11830748908193194,-2.4350344049266393,-15.431719209628781,12.559016484720287
edu_collapsedBachelor's+,0.07753283130055608,0.08321141374518308,0.9317571690102943,0.3515569386407814,-0.085641875729799,0.24070753833091116,8.061770996099238,-8.207709716632461,27.214892609878483
age_num,0.07760878236024224,0.012897140517689604,6.017518554116296,2.0462759041988697e-9,0.052317935458543643,0.10289962926194084,8.069978713806435,5.3710701257889015,10.838015455858852
age_sq,-7.719397659932966e-4,1.389947773489435e-4,-5.553732166895436,3.108634007032447e-8,-0.0010445037214876379,-4.993758104989554e-4,-0.07716418971426275,-0.10439584173494998,-0.04992511431517466
yrs_us,0.010274190094910042,0.007025684229137259,1.4623757288009647,0.1437708635295242,-0.003502933909831694,0.024051314099651777,1.0327150806705987,-0.349680579439271,2.434287977463745
