term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_effect,pct_low,pct_high
(Intercept),8.981242847972426,0.32321580452008236,27.787140116208008,2.430492975469817e-147,8.347427823850234,9.615057872094619,795150.9736642395,421831.3954752365,1498779.007099244
eng_factorNot well,-0.1298430648902833,0.09105717570122845,-1.4259509356661453,0.15401420368034563,-0.3084030400105189,0.04871691022995228,-12.17667542629366,-26.538082258616903,4.992308618070074
eng_factorWell,0.0186374047356339,0.08735921460463758,0.2133421736903357,0.8310784306118253,-0.15267099645516827,0.1899458059264361,1.881216516861306,-14.158790401970055,20.918406527134835
eng_factorVery well,0.155338931330502,0.10046404116282885,1.5462142427531231,0.12218634628973632,-0.041667581910947354,0.3523454445719514,16.80537840460625,-4.081142078312483,42.239979914923744
lang_isolated,-0.10812131554839152,0.05809352384127509,-1.8611595303428985,0.06284538477107526,-0.22204070841184653,0.005798077315063488,-10.248129314854438,-19.911723899422697,0.5814918698821225
edu_collapsedHS/GED,0.06181988151264147,0.0634302561031846,0.9746118857233768,0.3298522787982928,-0.06256465890861401,0.18620442193389697,6.377072269774797,-6.064767664620874,20.46684958724352
edu_collapsedSome college/Assoc.,-0.024651716077143726,0.07290246010346038,-0.33814655969303303,0.7352826956204652,-0.16761092123621868,0.11830748908193123,-2.4350344049266726,-15.431719209628769,12.559016484720198
edu_collapsedBachelor's+,0.07753283130055509,0.08321141374518314,0.9317571690102818,0.35155693864078796,-0.0856418757298001,0.2407075383309103,8.061770996099128,-8.20770971663256,27.214892609878373
age_num,0.07760878236024267,0.012897140517692925,6.01751855411478,2.04627590421773e-9,0.052317935458537565,0.10289962926194778,8.069978713806481,5.371070125788258,10.838015455859606
age_sq,-7.719397659932943e-4,1.389947773489688e-4,-5.553732166894408,3.108634007050495e-8,-0.0010445037214876851,-4.993758104989035e-4,-0.07716418971426275,-0.10439584173494998,-0.049925114315163555
yrs_us,0.01027419009490995,0.007025684229137255,1.4623757288009522,0.14377086352952753,-0.003502933909831779,0.02405131409965168,1.0327150806705987,-0.3496805794392821,2.434287977463745
